frame,point,x,y,visibility
6,0,258,87,0.9948992133140564
6,1,262,80,0.9952865242958069
6,2,263,80,0.9963836669921875
6,3,265,80,0.9976527094841003
6,4,260,81,0.9906156659126282
6,5,260,81,0.987718939781189
6,6,261,81,0.9869359135627747
6,7,274,82,0.9976258873939514
6,8,267,83,0.9745426774024963
6,9,265,94,0.9971078038215637
6,10,263,95,0.9927195310592651
6,11,301,129,0.9999819993972778
6,12,284,122,0.995451033115387
6,13,303,206,0.9842549562454224
6,14,281,180,0.02226283587515354
6,15,290,268,0.9676775336265564
6,16,277,232,0.03284155949950218
6,17,291,283,0.9424941539764404
6,18,276,246,0.038671139627695084
6,19,284,283,0.9422354102134705
6,20,275,247,0.0398092195391655
6,21,284,277,0.9017862677574158
6,22,276,242,0.04370281472802162
6,23,303,237,0.9996528625488281
6,24,293,232,0.9975153207778931
6,25,296,299,0.8775918483734131
6,26,289,288,0.3813866376876831
6,27,320,355,0.9284156560897827
6,28,307,336,0.4311133623123169
6,29,330,363,0.8305706977844238
6,30,318,343,0.5319195985794067
6,31,291,377,0.9342933297157288
6,32,284,353,0.6996938586235046
7,0,258,87,0.9953494668006897
7,1,262,80,0.9957253932952881
7,2,264,80,0.9967224597930908
7,3,266,80,0.9978692531585693
7,4,261,79,0.9914510846138
7,5,261,79,0.988828718662262
7,6,261,79,0.988106369972229
7,7,274,82,0.9978459477424622
7,8,267,82,0.9769260883331299
7,9,265,93,0.997369647026062
7,10,263,94,0.9933386445045471
7,11,294,130,0.9999832510948181
7,12,285,118,0.9955254793167114
7,13,303,206,0.9852624535560608
7,14,279,157,0.02205144800245762
7,15,288,267,0.9701851606369019
7,16,263,158,0.04015519097447395
7,17,287,283,0.9465904831886292
7,18,261,159,0.05015460029244423
7,19,281,282,0.9464143514633179
7,20,256,156,0.05248343572020531
7,21,281,275,0.9088714718818665
7,22,256,157,0.05818593502044678
7,23,303,231,0.999679684638977
7,24,290,220,0.9976702928543091
7,25,296,297,0.8804018497467041
7,26,284,278,0.3725554347038269
7,27,319,355,0.9278647899627686
7,28,305,323,0.41954055428504944
7,29,330,364,0.8355401754379272
7,30,314,331,0.519474983215332
7,31,290,378,0.9351131319999695
7,32,284,338,0.6875434517860413
8,0,258,87,0.9956393837928772
8,1,262,79,0.9960562586784363
8,2,264,79,0.9969840049743652
8,3,265,79,0.9980323314666748
8,4,261,79,0.9919974207878113
8,5,261,79,0.9896075129508972
8,6,262,78,0.9889311194419861
8,7,274,82,0.9980131983757019
8,8,268,81,0.9788182377815247
8,9,265,93,0.9975649118423462
8,10,263,93,0.9937339425086975
8,11,295,132,0.9999839663505554
8,12,285,116,0.995472252368927
8,13,303,206,0.9860199689865112
8,14,277,145,0.022186502814292908
8,15,288,265,0.9719536900520325
8,16,262,138,0.045434288680553436
8,17,287,280,0.9493746161460876
8,18,260,137,0.05869121849536896
8,19,281,279,0.9492937326431274
8,20,256,134,0.06205388903617859
8,21,281,273,0.9139100313186646
8,22,256,136,0.06968967616558075
8,23,304,228,0.9997028112411499
8,24,291,218,0.9978147745132446
8,25,295,297,0.8792954683303833
8,26,284,278,0.35977229475975037
8,27,319,355,0.9263535141944885
8,28,305,324,0.4049074351787567
8,29,330,365,0.8402615189552307
8,30,314,332,0.504685640335083
8,31,290,379,0.9350705146789551
8,32,284,340,0.670731246471405
9,0,263,82,0.9957613945007324
9,1,263,78,0.9962809681892395
9,2,264,79,0.997164249420166
9,3,265,79,0.9981247782707214
9,4,262,77,0.9923060536384583
9,5,263,77,0.9901419878005981
9,6,264,77,0.9895109534263611
9,7,274,81,0.9981127381324768
9,8,269,80,0.9804261922836304
9,9,269,90,0.9976716041564941
9,10,265,89,0.9938843250274658
9,11,298,132,0.9999828934669495
9,12,286,115,0.995274543762207
9,13,303,204,0.9855120778083801
9,14,277,142,0.02226012945175171
9,15,288,263,0.9702202677726746
9,16,265,136,0.04805467650294304
9,17,288,278,0.9463839530944824
9,18,263,135,0.06312023103237152
9,19,281,277,0.9464898705482483
9,20,259,132,0.06721466034650803
9,21,281,270,0.9108749628067017
9,22,259,134,0.07636592537164688
9,23,305,223,0.9997226595878601
9,24,291,214,0.9979307055473328
9,25,295,296,0.8841241002082825
9,26,282,271,0.3445427715778351
9,27,319,355,0.9276003837585449
9,28,302,314,0.38849562406539917
9,29,330,365,0.8455167412757874
9,30,310,322,0.4857018291950226
9,31,290,379,0.9357782602310181
9,32,283,330,0.6502262949943542
10,0,263,82,0.9959916472434998
10,1,263,78,0.9965474009513855
10,2,264,79,0.9973680973052979
10,3,265,79,0.9982466101646423
10,4,264,78,0.9927111268043518
10,5,265,77,0.99074387550354
10,6,265,77,0.9901579022407532
10,7,281,82,0.9982338547706604
10,8,272,81,0.9819542765617371
10,9,268,90,0.9978261590003967
10,10,266,90,0.9941980838775635
10,11,298,132,0.999983549118042
10,12,289,114,0.9953297972679138
10,13,303,204,0.9857977032661438
10,14,275,115,0.030711159110069275
10,15,287,262,0.9710621237754822
10,16,255,80,0.07781285792589188
10,17,286,276,0.9472822546958923
10,18,255,78,0.09132863581180573
10,19,280,276,0.9474533200263977
10,20,252,77,0.09598606824874878
10,21,281,269,0.9125781059265137
10,22,252,81,0.10742601752281189
10,23,305,222,0.999747097492218
10,24,291,213,0.9981065988540649
10,25,295,295,0.8892611861228943
10,26,283,268,0.32973113656044006
10,27,318,355,0.929362416267395
10,28,298,311,0.373246967792511
10,29,328,365,0.8508947491645813
10,30,304,319,0.46770551800727844
10,31,290,378,0.9364641308784485
10,32,279,324,0.633459210395813
11,0,269,83,0.9963024854660034
11,1,265,78,0.9968346953392029
11,2,266,79,0.9975882768630981
11,3,269,79,0.9983804821968079
11,4,264,78,0.9932846426963806
11,5,265,78,0.9914968013763428
11,6,266,77,0.9909383654594421
11,7,287,83,0.99836266040802
11,8,273,81,0.9835355877876282
11,9,274,92,0.9979625940322876
11,10,268,90,0.9945322275161743
11,11,299,132,0.9999836683273315
11,12,289,114,0.995261013507843
11,13,301,203,0.9853973388671875
11,14,275,130,0.0322900265455246
11,15,285,262,0.9710534811019897
11,16,259,116,0.09007477015256882
11,17,282,277,0.9468119144439697
11,18,259,113,0.10647989064455032
11,19,278,276,0.9472396373748779
11,20,255,111,0.11215760558843613
11,21,279,270,0.9128652811050415
11,22,255,113,0.12454880774021149
11,23,306,221,0.9997665882110596
11,24,292,214,0.9982436299324036
11,25,296,294,0.8907785415649414
11,26,285,269,0.3181535005569458
11,27,317,354,0.9298131465911865
11,28,298,313,0.3657887876033783
11,29,326,364,0.8559387922286987
11,30,304,321,0.45719587802886963
11,31,289,376,0.9374692440032959
11,32,278,327,0.6245492696762085
12,0,275,83,0.9966438412666321
12,1,273,78,0.9971341490745544
12,2,274,78,0.9978152513504028
12,3,276,78,0.9985252618789673
12,4,271,78,0.9939197897911072
12,5,271,78,0.9923065304756165
12,6,271,77,0.9917979836463928
12,7,285,82,0.998510479927063
12,8,275,81,0.9851430654525757
12,9,281,92,0.9981327652931213
12,10,274,91,0.9949983358383179
12,11,301,131,0.9999822974205017
12,12,291,114,0.9953588843345642
12,13,299,200,0.9848986268043518
12,14,277,128,0.0346548818051815
12,15,284,259,0.9694721102714539
12,16,267,113,0.10346429795026779
12,17,284,272,0.9431524872779846
12,18,268,110,0.1216660737991333
12,19,278,273,0.9438599348068237
12,20,264,107,0.12800969183444977
12,21,279,267,0.9092825651168823
12,22,263,110,0.1412551999092102
12,23,307,219,0.9997825026512146
12,24,293,214,0.9983733296394348
12,25,294,293,0.8976759314537048
12,26,288,270,0.3058699667453766
12,27,317,354,0.9310763478279114
12,28,300,314,0.3595573306083679
12,29,326,364,0.8639453649520874
12,30,304,322,0.45404738187789917
12,31,289,376,0.9381466507911682
12,32,282,328,0.6129210591316223
13,0,278,83,0.9969566464424133
13,1,276,78,0.9974091053009033
13,2,276,78,0.9980230927467346
13,3,277,78,0.998661458492279
13,4,275,78,0.9944996237754822
13,5,275,78,0.9930431246757507
13,6,275,78,0.9925824999809265
13,7,284,81,0.9986478686332703
13,8,279,81,0.986596941947937
13,9,282,92,0.9982930421829224
13,10,278,90,0.9954312443733215
13,11,301,129,0.9999822974205017
13,12,295,114,0.9955763816833496
13,13,296,199,0.9832167625427246
13,14,279,116,0.042787108570337296
13,15,283,259,0.9675698280334473
13,16,267,88,0.13414080440998077
13,17,284,271,0.9397319555282593
13,18,268,81,0.1500331312417984
13,19,278,274,0.940617561340332
13,20,264,79,0.15659481287002563
13,21,279,267,0.9050096869468689
13,22,263,83,0.17054197192192078
13,23,307,219,0.9998009204864502
13,24,297,213,0.9985157251358032
13,25,293,291,0.8981263637542725
13,26,289,269,0.2932589054107666
13,27,316,353,0.9313226938247681
13,28,300,316,0.34801995754241943
13,29,325,363,0.8690552711486816
13,30,306,323,0.44067075848579407
13,31,290,376,0.938328206539154
13,32,282,330,0.5983891487121582
14,0,277,83,0.9972400665283203
14,1,275,78,0.997657060623169
14,2,276,78,0.9982114434242249
14,3,276,78,0.9987858533859253
14,4,276,78,0.9950210452079773
14,5,276,78,0.9937072396278381
14,6,277,78,0.9932906627655029
14,7,284,81,0.9987731575965881
14,8,282,81,0.9879072904586792
14,9,280,91,0.9984444379806519
14,10,279,90,0.9958367943763733
14,11,301,131,0.999983012676239
14,12,296,114,0.99580317735672
